id,name_clean,duration_minutes,artists,artist_list,primary_artist,artist_count
6Fl6S9ygFos67pEr5FpC4x,Angels,8,"John Tavener, Andrew Lumsden, Winchester Cathedral Choir, George Castle","['John Tavener', 'Andrew Lumsden', 'Winchester Cathedral Choir', 'George Castle']",John Tavener,4
6MQOHKsRkWgGElHJDBN0Xs,Have a Little Mercy,8,Jimmy Dawkins,['Jimmy Dawkins'],Jimmy Dawkins,1
0vXKORBq2RHPYGAeNBkBzd,Recuerdos de Amor: Lo Que No Fue No Será / Amar y Querer / O Tú o Yo / El Triste / Volcán / Gavilán o Paloma - Instrumental,8,Orquesta Amor Latino,['Orquesta Amor Latino'],Orquesta Amor Latino,1
2Jgq6HT6VGHq5fHUan0Bzb,Smyrna,8,"KHAIKHAN, Dest","['KHAIKHAN', 'Dest']",KHAIKHAN,2
0dnrweX1MbuZD50M2b8Fw7,Alive Again - Live,8,Trey Anastasio,['Trey Anastasio'],Trey Anastasio,1
52N53mNNunNUQFWmtGqFG7,Loup the Loup - Live,8,"Matthew Fries, Phil Palombi","['Matthew Fries', 'Phil Palombi']",Matthew Fries,2
1fglXTyRSChB72Mq5TK4Ne,The Great Pyramid of Cheops,8,Andawan,['Andawan'],Andawan,1
2nU3IMWjgkxvtQeaMlyc9f,Breakmay,8,Osvit,['Osvit'],Osvit,1
5okhIOGE78yApy9u5xHY6k,Fortunated - Original Mix,8,"Invisible Reality, Klopfgeister","['Invisible Reality', 'Klopfgeister']",Invisible Reality,2
3YBbkEIF6Asp6enBInOEPv,Istanbul,8,"Derya Türkan, Sokratis Sinopoulos","['Derya Türkan', 'Sokratis Sinopoulos']",Derya Türkan,2
62oCcVXa7MMLriwisllCK2,Flight,8,Dren McDonald,['Dren McDonald'],Dren McDonald,1
5PSl4song5Iunx0NdOqYzZ,The Holy Name,8,Cornershop,['Cornershop'],Cornershop,1
6mH2Q6zvqxQc6gR96NKrl5,Way Maker - Live,8,"Glaubenszentrum Live, Markus Muntean","['Glaubenszentrum Live', 'Markus Muntean']",Glaubenszentrum Live,2
3Lf4SCSNXHs021y3zw5di2,"Images for Orchestra, CD 118: II. Ibéria: b. Les parfums de la nuit - Live",8,"Claude Debussy, Orchestra dell'Accademia Nazionale di Santa Cecilia, Leonard Bernstein","['Claude Debussy', ""Orchestra dell'Accademia Nazionale di Santa Cecilia"", 'Leonard Bernstein']",Claude Debussy,3
2M5QLUDgc2EKOHMSYUdoNs,Voryva,8,Dzivia,['Dzivia'],Dzivia,1
3Ekq3wshgiNiAHH88KZxLE,Sans Lendemain,8,Vous Autres,['Vous Autres'],Vous Autres,1
4L7qr0rd7px1ajgRN7tZOt,Another Trip - Sidhartha Remix,8,Alienn,['Alienn'],Alienn,1
4dkO8R3zCC1SCNuhzcPHbz,Das Flores Das Águas (feat. Shimshai),8,"Alexa Sunshine Rose, Shimshai","['Alexa Sunshine Rose', 'Shimshai']",Alexa Sunshine Rose,2
6YNyXhUBsj5f1w06r4m2bw,Get Up High,8,Cyril,['Cyril'],Cyril,1
5zs55cpupKKCqf80kOPPfp,Actuate,8,Bongo & Pusk,"['Bongo', 'Pusk']",Bongo,2
4b6WJ41qKWGUMZB7cHTF0d,Lal Meri Patt - Live,8,Sanam Marvi,['Sanam Marvi'],Sanam Marvi,1
2Qi4vMeWu6LBSaZbASdau3,Neverland,8,Dyce,['Dyce'],Dyce,1
4xg6i3qL3TPsYm9qU5A7kr,Awaiting Resurrection,8,Drive-By Truckers,['Drive-By Truckers'],Drive-By Truckers,1
7kn82QLjGE0dIRRX67klbG,"King Christian II, Op. 27: V. Nocturne",8,"Jean Sibelius, Turku Philharmonic Orchestra, Leif Segerstam","['Jean Sibelius', 'Turku Philharmonic Orchestra', 'Leif Segerstam']",Jean Sibelius,3
4mxtrjWiflBH2izYC6rYvt,Mondo Buzzo,8,Causa Sui,['Causa Sui'],Causa Sui,1
4KqRCPvv446WhB6FcJOMfP,Spem in Alium and Her Unable,8,Kyle Bobby Dunn,['Kyle Bobby Dunn'],Kyle Bobby Dunn,1
7ovSaBFemf4lmZDpPeVBn4,Cka po m'rrin karshi karshi,8,"Ali Krasniqi, Halil Bytyqi","['Ali Krasniqi', 'Halil Bytyqi']",Ali Krasniqi,2
3pXIEp6hW1BSNYW6KvPtlN,かけて 解く その心は,8,yeahyoutoo,['yeahyoutoo'],yeahyoutoo,1
4tmoVFcX4e0z1DfYUhfjpK,La Gozadera 7: Lágrimas de Cristal / Una Lágrima / Adiós Amor Adiiós Mi Amor Te Vas / Te Quiero para Mí - En Vivo,8,Marimba Orquesta La Gran Manzana,['Marimba Orquesta La Gran Manzana'],Marimba Orquesta La Gran Manzana,1
1aL9QCWR1ZxZpuY2q37PIk,Contact,8,Mindwave,['Mindwave'],Mindwave,1
6QCJkly15KWNRy7QrYzjrE,Tony Touch Power Cypha 2 Freestyle '97,8,"O.C., Fat Joe, Lord Finesse, Big L, A.G., Diamond D","['O.C.', 'Fat Joe', 'Lord Finesse', 'Big L', 'A.G.', 'Diamond D']",O.C.,6
2YiHJSN7sNQExtdeZnL8MN,Oceans,8,Alpha Gravity,['Alpha Gravity'],Alpha Gravity,1
5UbrywfBOKQwMeUZiSAUtH,Tonight You Sleep In Hell,7,Boris S.,['Boris S.'],Boris S.,1
17u3p1rzVRfbmWETYO1WPd,Gives Me Statisfaction (128 Bpm - Seat Climbing / 70-75 Hf Intensity),7,SKYGO,['SKYGO'],SKYGO,1
6RrzrhPCm0tAtDUzqzURc9,Skullgroove,7,Mijo,['Mijo'],Mijo,1
5IRP2EyJ3BjmEPd2lYJk18,Invasion,7,Anna Lee,['Anna Lee'],Anna Lee,1
0wtOJWgGXIHlOAfiOJXRW4,Shining,7,Cosmic Replicant,['Cosmic Replicant'],Cosmic Replicant,1
5act0f9sWFwQ8cswUDwOXj,Cherie Nobato,7,Wuta Mayi,['Wuta Mayi'],Wuta Mayi,1
7LNj462j5jchQjtXJApa2o,Interference,7,Massa (7),['Massa (7)'],Massa (7),1
2hzBwTPpPndXh9bOFrqdUq,Red Eyed Viper - Original Mix,7,Elek3ctii,['Elek3ctii'],Elek3ctii,1
1b40rkIU0jsz5TdEFKKxql,Desert Dreams - Original Mix,7,"Valeron, 7even (GR)","['Valeron', '7even (GR)']",Valeron,2
4sueXHAbsmaoUjmZqUA3gN,Caminante,7,"Bender, Nina","['Bender', 'Nina']",Bender,2
36v1Mc96ANEFSePURfAUll,From Disco to the Underground - James Rod Remix,7,"Limpodisco, James Rod","['Limpodisco', 'James Rod']",Limpodisco,2
7i0El4yOp6embW4ZKYpYGO,Minor - Original Mix,7,"Dirty Culture, Nusha","['Dirty Culture', 'Nusha']",Dirty Culture,2
7qI17QKuUacxqXD3xoO8FB,Money,7,Gov't Mule,"[""Gov't Mule""]",Gov't Mule,1
5QDr9jdPLphwabjLBmzdsU,On the Edge of Existence,7,Bernd Kistenmacher,['Bernd Kistenmacher'],Bernd Kistenmacher,1
7BXOLFVdf4SNkI8kGvbrbF,Sahar,7,"Jose Solano, Cafe De Anatolia","['Jose Solano', 'Cafe De Anatolia']",Jose Solano,2
6AqPwpSugDmDIF3QAWHyBj,Piaaaaach!!,7,"Dj Marta, Tim Wokan","['Dj Marta', 'Tim Wokan']",Dj Marta,2
0soVbyUAgY8tgzdiRog7xU,First Loved Me - High Key Without Background Vocals,7,Covenant Worship,['Covenant Worship'],Covenant Worship,1
6MEmZsicSod5jLvdwaMvXY,Please Have Mercy On Me - Dj Umbi Deep Remix,7,Big Mojo,['Big Mojo'],Big Mojo,1
73yp98F2ESKnHLT4lgqr5Z,Mori Gagar Na (Teental),7,"Traditional, Gulshan Tandon","['Traditional', 'Gulshan Tandon']",Traditional,2
5IJvj7XTw3kUTbWgTv0VAq,Makibishi,7,Simina Grigoriu,['Simina Grigoriu'],Simina Grigoriu,1
0W6EGWsAFml7FWIweiOx4E,Baghia Tatezaoudji Ou Tkhalini,7,Cheb Houssem,['Cheb Houssem'],Cheb Houssem,1
0ULvYLGWZw3VWEsqJ6pDzm,Salajka,7,Lag,['Lag'],Lag,1
5XUj5BiQdpzDRiHNYE3V47,60c - Original Mix,7,Noneoftheabove,['Noneoftheabove'],Noneoftheabove,1
6fH52FJjaHiW7Eg0w9jHVk,Taiga,7,Joachim Pastor,['Joachim Pastor'],Joachim Pastor,1
4jIM9xhhJrqekOItxi8702,Camden Square,7,Butcher Brown,['Butcher Brown'],Butcher Brown,1
6AipXB8ttXKoE8y91rYwER,Golden Glow,7,Prince Rama,['Prince Rama'],Prince Rama,1
1CseRS3c1cQSvYyHSPhnNz,Sweet - George Morel Remix,7,"Frank Donner, George Morel, Stefan Mint","['Frank Donner', 'George Morel', 'Stefan Mint']",Frank Donner,3
5aVqJQuwFZ0KgU3HxtYyb1,Play With Me!,7,Matador,['Matador'],Matador,1
4FuWw0rtrxiVNgfudc3J5m,Puerto Rico,7,Eddie Palmieri,['Eddie Palmieri'],Eddie Palmieri,1
